method,f1_macro,scaler,params
LogisticRegression,0.6825839090229714,StandardScaler,"{'logreg__C': 1, 'logreg__penalty': 'l2', 'logreg__random_state': 42}"
LogisticRegression,0.6826037389721537,MinMaxScaler,"{'logreg__C': 1, 'logreg__penalty': 'none', 'logreg__random_state': 42}"
SVC,0.8406290070300223,StandardScaler,"{'svc__C': 50, 'svc__random_state': 42}"
SVC,0.8023747705457818,MinMaxScaler,"{'svc__C': 50, 'svc__random_state': 42}"
KNeighborsClassifier,0.8623717691621019,StandardScaler,"{'knn__algorithm': 'auto', 'knn__n_neighbors': 2, 'knn__p': 1, 'knn__weights': 'distance'}"
KNeighborsClassifier,0.8339450373326368,MinMaxScaler,"{'knn__algorithm': 'auto', 'knn__n_neighbors': 2, 'knn__p': 1, 'knn__weights': 'distance'}"
MultinomialNB,0.6486497498836337,MinMaxScaler,"{'nb__alpha': 2.0, 'nb__fit_prior': True}"
DecisionTreeClassifier,0.8455909158298187,StandardScaler,"{'dt__criterion': 'entropy', 'dt__max_depth': None, 'dt__max_features': 'sqrt', 'dt__min_samples_leaf': 1, 'dt__min_samples_split': 2, 'dt__random_state': 42, 'dt__splitter': 'best'}"
DecisionTreeClassifier,0.8457767773982364,MinMaxScaler,"{'dt__criterion': 'entropy', 'dt__max_depth': None, 'dt__max_features': 'sqrt', 'dt__min_samples_leaf': 1, 'dt__min_samples_split': 2, 'dt__random_state': 42, 'dt__splitter': 'best'}"
RandomForestClassifier,0.888160797694728,StandardScaler,"{'rf__criterion': 'gini', 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 2, 'rf__n_estimators': 100, 'rf__random_state': 42}"
RandomForestClassifier,0.8881151635821211,MinMaxScaler,"{'rf__criterion': 'gini', 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 2, 'rf__n_estimators': 100, 'rf__random_state': 42}"
GradientBoostingClassifier,0.7305134186093212,StandardScaler,"{'gb__learning_rate': 1.0, 'gb__max_features': 'sqrt', 'gb__random_state': 42}"
GradientBoostingClassifier,0.7304932591715133,MinMaxScaler,"{'gb__learning_rate': 1.0, 'gb__max_features': 'sqrt', 'gb__random_state': 42}"
BaggingClassifier,0.8915048977779717,StandardScaler,"{'bag__n_estimators': 100, 'bag__random_state': 42}"
BaggingClassifier,0.8913899697611817,MinMaxScaler,"{'bag__n_estimators': 100, 'bag__random_state': 42}"
